,Unnamed: 0,username,content,date,country,replyCount,retweetCount,likeCount,url,sentiment
18,18,JChaisse,Trump pulling dozens of diplomats out of Iraq https://t.co/y4SHc6aAaD via @politico,2020-12-02 23:37:30+00:00,South Korea,0,0,1,https://twitter.com/JChaisse/status/1334280563914493953,Pro Trump
19,19,MattJoThump,"That was a good season ending to the series. 
#ByeByeTrump #YoureFiredTrump",2020-11-07 20:09:06+00:00,India,0,0,0,https://twitter.com/MattJoThump/status/1325168420615172097,Pro Biden
20,20,TavulliaWez,Some good news on this shit #NoDealBrexit #Johnsonisatwat day #Trump #BritainTrump #SupremeCourt https://t.co/wVtHTGY8uy,2020-12-12 00:33:41+00:00,UK,0,0,0,https://twitter.com/TavulliaWez/status/1337556191451492353,Pro Biden
21,21,Jean05990464,"@realDonaldTrump @nypost That's like the reverse Donald the 
Lying liar don so many shady deals 
Just ask his first lawyer you would know trump is a racist a supporter of
While supremacy, tax cheat and on.",2020-10-18 18:50:23+00:00,Canada,0,0,1,https://twitter.com/Jean05990464/status/1317900853467033604,Pro Trump
22,22,AlexIsACanadian,Just learned this morning that @JoeBiden has won the presidency for the 6th time. Congrats.,2020-12-05 15:17:15+00:00,Canada,0,0,0,https://twitter.com/AlexIsACanadian/status/1335241833518129153,Pro Biden
23,23,kabir_shrabon,"@OANN Mr.Trump why u do it unnecessary.
please stopped nonchalance and takeov over power",2020-12-02 23:45:27+00:00,China,0,0,0,https://twitter.com/kabir_shrabon/status/1334282563846766592,Pro Biden
24,24,loveforcambridg,My account is dedicated to the Cambridges so I’m sorry for the political retweets.. but it’s a historical day and it’s a beautiful one! Thank you USA for doing the right thing and congratulations @JoeBiden and @KamalaHarris for your victory! I’m so happy 🇺🇸❤️💙❤️💙❤️💙,2020-11-07 17:31:47+00:00,Brazil,22,17,259,https://twitter.com/loveforcambridg/status/1325128828730007553,Pro Biden
25,25,jewlicious,@GuidyMamann That hardly counts as “election fraud.” The ballots were segregated and everything was out in the open. Trump lost.,2020-11-13 07:00:02+00:00,Iran,1,0,0,https://twitter.com/jewlicious/status/1327144173917663232,Pro Biden
26,26,Daulats57726115,@kpsharmaoli @JoeBiden @KamalaHarris Congratulations,2020-11-08 03:26:16+00:00,China,0,0,0,https://twitter.com/Daulats57726115/status/1325278437343289344,Pro Biden
27,27,spydermage14,@HawleyMO @Walmart You just want the spotlight for a few minutes.  You know you have no proof and you know that nothing will change.   Did someone not love you enough that you need this attention or did Trump promise you something?,2020-12-30 21:17:33+00:00,Canada,0,0,0,https://twitter.com/spydermage14/status/1344392204207452163,Pro Trump
28,28,BBerlajolli,@realDonaldTrump It's Christmas. Can you stop for one day? Lying today may not go well with your blind Christian supporters. It only takes a flake to turn them. #TrumpDesecratingChristmas #TrumpLies #NotLongToTheEnd.,2020-12-25 04:14:41+00:00,UK,0,0,0,https://twitter.com/BBerlajolli/status/1342322849026076673,Pro Biden
29,29,mehmetgorgin,@realDonaldTrump President Trump -Even if anything happened something happened. #MSNBC2020 #VoteBlueToEndTheNightmare #VoteHimOut #Election Day,2020-11-04 21:07:55+00:00,Russia,0,0,0,https://twitter.com/mehmetgorgin/status/1324096058788663296,Pro Biden
30,30,FaribaRahimi2,"It seems like Democrats are cheating the vote counting in Michigan and Arizona!
#trump2020",2020-11-04 18:06:22+00:00,UK,0,0,0,https://twitter.com/FaribaRahimi2/status/1324050370985922563,Pro Trump
31,31,jonelkon,"@realDonaldTrump Hey #MAGA ists! I hope you realise this is all a scam to raise money for him! He’ll need a lot to pay his legal bills once they arrest him for fraud. He’s even raising money by charging his own criminal gang for pardons. Come on folks, stop being victims of a conman!",2020-12-03 10:30:17+00:00,UK,0,0,0,https://twitter.com/jonelkon/status/1334444838910046213,Pro Trump
32,32,1humano1voto,"Some gender studies major wrote this tweet for you. You don’t even know what a Mexican Jew looks like! Answer the questions about your corruption!!!!

We voted for #Trump2020

@realDonaldTrump if you want me to campaign in Spanish for you, I will.

@JoeBiden no tienes huevos!!!!! https://t.co/Dr4Dmnjx8b",2020-10-28 13:58:24+00:00,Mexico,0,0,1,https://twitter.com/1humano1voto/status/1321451251498946566,Pro Trump
33,33,tweetter_s,"YOU ARE FIRED, DONALD TRUMP!!",2020-11-07 17:31:24+00:00,Brazil,0,0,0,https://twitter.com/tweetter_s/status/1325128734324760576,Pro Biden
34,34,Pedra_da_Linha,"""And may god protect our troops"" 
The ones you gonna defund, and call for help when you need ain't that right? 
#Trump2020 #TrumpvsBiden #TRUMP2020ToSaveTheWorld https://t.co/T1cHnrrVki",2020-11-04 22:42:03+00:00,UK,0,0,1,https://twitter.com/Pedra_da_Linha/status/1324119746753794048,Pro Trump
35,35,MARINO500,@Wizard_Predicts @marisolpanama01 Biden must go to jail,2020-12-21 21:45:14+00:00,Brazil,0,0,0,https://twitter.com/MARINO500/status/1341137680151814144,Pro Trump
36,36,HAlfarzan,BREAKING TRUMP’S NOTES LEAKED FOR THE #PresidentialDebate2020 #TrumpIsPathetic #TrumpMeltdown https://t.co/1vE0TKoUPW,2020-10-23 02:15:41+00:00,UK,0,2,6,https://twitter.com/HAlfarzan/status/1319462468528312320,Pro Biden
37,37,stuck_confused,This IS the last one now. I promise! #BidenHarris2020 #trump2020 #usa #Elections2020 #nerd #gaming #fun #comedy https://t.co/4XqgJef9ch,2020-11-12 14:08:47+00:00,UK,0,1,3,https://twitter.com/stuck_confused/status/1326889683243163649,Pro Biden
38,38,Ty___Harris,What if Wayne went visit Trump to ask him for a pardon???,2020-12-12 18:34:01+00:00,Russia,0,0,0,https://twitter.com/Ty___Harris/status/1337828068807897090,Pro Biden
39,39,sonasahakyan93,@armgate @JoeBiden When finally the results will be clear who is elected?,2020-11-06 23:47:14+00:00,Russia,0,0,1,https://twitter.com/sonasahakyan93/status/1324860927209050113,Pro Biden
40,40,james_addicott,Upon what legal grounds could Trumps claims of election fraud (“I won”) be taken to the Supreme Court? Does he have any form of case even if recounts prove Biden won? #TrumpIsACriminal #ConcedeNowTrump #Trump2020 #TrumpvsBiden #BidenWasNotElected #BidenWasElected #USPolitics,2020-11-23 05:27:02+00:00,UK,0,0,0,https://twitter.com/james_addicott/status/1330744646432157697,Pro Biden
41,41,michaelgitter,"Biden has to 1) stop saying “number one”- and 2) stop saying “number two”. He constantly does this. So number 1 it needs to stop.  And number 2, it’s very annoying.",2020-12-22 20:14:50+00:00,Canada,0,0,0,https://twitter.com/michaelgitter/status/1341477316598378496,Pro Biden
42,42,steoreilly,Sleepy Joe can rest well tonight,2020-11-07 17:14:47+00:00,UK,0,0,0,https://twitter.com/steoreilly/status/1325124550967791620,Pro Biden
43,43,symmo1969,"""We believe there was election fraud because we didn't see anything, and we lost"" ~ #TeamTrump
#ElectionDay #Election2020 #PresidentBiden2020",2020-11-07 17:24:56+00:00,UK,0,0,1,https://twitter.com/symmo1969/status/1325127107173896193,Pro Biden
44,44,beavington,@Acyn Those toilet rolls ... no one else dod that.    Why on earth do people listen to him! #TrumpLies,2020-09-18 19:21:35+00:00,UK,0,0,0,https://twitter.com/beavington/status/1307037070456651776,Pro Trump
45,45,DJAlexDelmar,"Refresh...
Refresh...
Refresh...
🙌🏼🎉

#ByeByeTrump #Election2020results",2020-11-06 23:31:11+00:00,Canada,0,0,0,https://twitter.com/DJAlexDelmar/status/1324856886395457538,Pro Biden
46,46,AzharPanni,"That is why #DonaldTrump is seriously thinking of migrating to #Chichawatni and join either @pmln_org or @PPP_Org 

😂😂😂   😆😆😆   🤣🤣🤣 https://t.co/9elS8raBVs",2020-11-15 10:03:03+00:00,India,0,0,2,https://twitter.com/AzharPanni/status/1327915006688681984,Pro Biden
47,47,imsnaikdotcom,"Gold and silver plate d trump 2020  coin FREE  GIVE AWAY
Visit  https://t.co/K5jOhI520E
Only for American citizens 

#trump #DonaldTrump #america #Trumpsupporters #memes #presidenttrump #maga
#trumptrain #love #trumpmemes #goldcoin #USA",2020-10-17 05:39:42+00:00,India,0,0,0,https://twitter.com/imsnaikdotcom/status/1317339482434228225,Pro Trump
48,48,jjergo,Sleepy Joe is a fake.,2020-11-06 01:30:42+00:00,Brazil,0,0,0,https://twitter.com/jjergo/status/1324524577523978243,Pro Biden
49,49,garageowns,".
L*SER
.
.
#plaguedaze #dumptrump #loser #pasteup @ Shoreditch https://t.co/8GM2yuqAvi",2020-11-20 13:28:02+00:00,UK,0,0,0,https://twitter.com/garageowns/status/1329778531073630211,Pro Biden
50,50,cllrgemmadavies,"Hang on, do they want them to #STOPTHECOUNT or #CountEveryVote this level of stupidity really is overwhelming #TeamBiden #BidenHarrisToEndThisNightmare https://t.co/z5WEik3rWI",2020-11-05 08:27:46+00:00,UK,0,0,1,https://twitter.com/cllrgemmadavies/status/1324267147514810368,Pro Biden
51,51,Pawnkansay,"@JoeBiden Many congratulations sir to you for this victory.  This victory is the victory of truth.

#USElections https://t.co/IAVEHFQitd",2020-11-05 07:14:32+00:00,Iran,0,0,0,https://twitter.com/Pawnkansay/status/1324248717675786241,Pro Biden
52,52,Grasiento,@realDonaldTrump Everybody stop! He found the evidence! #TrumpIsLosing  #TrumpHasLost #2020Election https://t.co/8oGUCB5el1,2020-11-13 19:49:22+00:00,UK,0,0,0,https://twitter.com/Grasiento/status/1327337782394695685,Pro Biden
53,53,dveriMLD,"I heard news; @realDonaldTrump changed a boss of Pentagon and @JoeBiden created a workgroup for fighting against COVID 19 and I wonder now:
SINCE WHEN AMERICANS HAVE
STEREOCRATIA IN U.S.!?!-)",2020-11-10 08:07:22+00:00,Russia,0,0,0,https://twitter.com/dveriMLD/status/1326073953807446018,Pro Trump
54,54,FeAmaral_online,#vote #Vote2020 US: don’t vote in Donald Trump. He is the worst president ever. Listen to what Mark Hamill says https://t.co/W59KOmePMG,2020-10-28 21:56:03+00:00,Brazil,0,0,0,https://twitter.com/FeAmaral_online/status/1321571456766136324,Pro Trump
55,55,Avomania,.@KamalaHarris @JoeBiden #RecognizeArstakh and stop the #AzerbaijaniAggression #Elections2020,2020-11-08 00:13:01+00:00,Russia,0,0,6,https://twitter.com/Avomania/status/1325229802006122498,Pro Biden
56,56,fcor_ch,"Y Trump like: ""See, WE WON THE ELECTION! ALL RED, AMAZING!"" https://t.co/ziEERSgrXK",2020-11-23 22:47:02+00:00,Mexico,0,0,1,https://twitter.com/fcor_ch/status/1331006372264226816,Pro Biden
57,57,dannlacerda,@JoeBiden We Brazilians are very happy for your victory. 👏🏼🇧🇷✨🥳🇺🇸,2020-11-07 17:17:19+00:00,Brazil,0,0,0,https://twitter.com/dannlacerda/status/1325125190049812482,Pro Biden
58,58,acidkeith,Awks. #HunterBiden https://t.co/U8D35ok3hc,2020-10-14 16:05:23+00:00,UK,0,0,0,https://twitter.com/acidkeith/status/1316409778051182592,Pro Trump
59,59,SamratD13919581,"🎗Joe Biden To Become The 46th President Of The United States Of America

🎗 Kamala Harris Becomes The 1st Woman To Be Elected Vice President Of The United States of America .
#JoeBiden #KamalaHarris #USElection2020 #USElection #USPresident2020 #USVicePresident2020 https://t.co/KNszm2ppQP",2020-11-08 10:28:23+00:00,India,0,0,0,https://twitter.com/SamratD13919581/status/1325384664547160064,Pro Biden
60,60,cjosie261,"@ArleneRabenbau1 @DonaldJTrumpJr What you seem to be completely overlooking is that THIS IS EVIDENCE OF FRAUD!!!  It an attempt to cheat!  I don’t care if it’s one vote or a million, FRAUD IS FRAUD, and it should null and void this election.",2020-11-14 23:27:15+00:00,Canada,0,0,0,https://twitter.com/cjosie261/status/1327755002710994946,Pro Trump
61,61,ADuayer,"Nothing is bad enough that can’t get worst. We have Bolsonaro here. If Trump is terror, Bolsonaro is horror 😷 https://t.co/H0hKqG385Q",2020-12-24 10:34:49+00:00,Brazil,0,0,0,https://twitter.com/ADuayer/status/1342056126712586240,Pro Trump
62,62,WarrenRome,Never more appropriate - dump the trump! A glimmer of light has widened - the worlds axis can spin more freely tonight. The world is a safer place tonight. #trumpout2020 #dumptrump #presidentialdebate #usa https://t.co/0mFtFxpR4v,2020-11-07 20:48:43+00:00,UK,0,0,0,https://twitter.com/WarrenRome/status/1325178389133582337,Pro Biden
63,63,AreWeStatic,100% Correct Guy 🍻 #VoteTrumpOut https://t.co/DMcaW4yWeK,2020-10-21 09:03:41+00:00,UK,0,0,0,https://twitter.com/AreWeStatic/status/1318840367022772224,Pro Biden
64,64,rtsknowles,"Like said @JoeBiden : Keep the faith!
Como disse #JoeBiden : Matenham a fé!

#Biden2020 🇺🇸💙 @KamalaHarris",2020-11-05 00:43:15+00:00,Brazil,0,0,1,https://twitter.com/rtsknowles/status/1324150249162788867,Pro Biden
65,65,amitpandayjourn,"@JoeBiden  will be the next President of the United States.
#JoeBiden #Biden #President #AmericaElection https://t.co/s5tIRaKKxf",2020-11-07 17:21:10+00:00,India,0,0,2,https://twitter.com/amitpandayjourn/status/1325126159579799552,Pro Biden
66,66,madehanaqvi,"Texas is turning blue from red ...
#USElections2020 #BlueWave2020",2020-11-03 21:49:08+00:00,India,8,3,113,https://twitter.com/madehanaqvi/status/1323744044011474945,Pro Biden
67,67,Pushparajbas,Congratulations to the President-elect President Elect Joe Biden Congratulations Joe #USElectionResults2020,2020-11-08 04:00:26+00:00,China,0,0,0,https://twitter.com/Pushparajbas/status/1325287035087695873,Pro Biden
68,68,PascaleBlt,"Congrats @KamalaHarris !

#MakeAmericaGreatAgain with #Women ! 

You did it, you will do it 

Thanks for your inspiration ! https://t.co/vNH664TsXP",2020-11-08 10:58:06+00:00,UK,0,0,2,https://twitter.com/PascaleBlt/status/1325392145205895168,Pro Biden
69,69,franciscolobo78,@RealCandaceO @flaviogordon @JoeBiden Hahhaha,2020-11-12 00:17:12+00:00,Brazil,0,0,1,https://twitter.com/franciscolobo78/status/1326680407857901571,Pro Trump
70,70,LouisGGlekas,"Trump wants an airport named after him.
DUMBASS Airport woulf fill the bill https://t.co/7kkTuds48d",2020-12-21 21:34:12+00:00,Canada,0,0,0,https://twitter.com/LouisGGlekas/status/1341134903161872386,Pro Trump
71,71,saffs13,2020 has been saving the best ‘till last 😜🤞🏼#ByeByeTrump #BorisIsNext https://t.co/gwdWkaAFnb,2020-11-07 23:53:09+00:00,UK,0,0,3,https://twitter.com/saffs13/status/1325224806380408833,Pro Biden
72,72,sharonc62983498,"@MagicalOverload Politician. My fellow Geminis will back me up, won't you, Boris Johnson, Donald Trump, J R-M, Mike Pence, Rudy Giuliani, Newt Gingrich?",2020-12-29 07:36:25+00:00,UK,0,0,0,https://twitter.com/sharonc62983498/status/1343823169606586368,Pro Biden
73,73,cdelgadoolavar1,@VOANoticias Le conviene Donald Trump!,2020-09-23 13:56:48+00:00,Brazil,0,0,2,https://twitter.com/cdelgadoolavar1/status/1308767275898503168,Pro Trump
74,74,VinceKewaquado,Good luck tomorrow USA. Get yourselves back to your correct place in the world. Four years as a laughing stock is enough. The nightmare can end tomorrow.  #JoeBiden #JOEBIDEN2020,2020-11-03 03:50:13+00:00,Canada,0,0,0,https://twitter.com/VinceKewaquado/status/1323472524278173698,Pro Biden
75,75,luzzeburg1gima1,"@realDonaldTrump Appeal to the President of the United States of America.  Donald J. TRUMP It is time to be heard, it is putting the best, it is the strength that distinguishes you, It is I say Force, to stem, All the disorder that comes from the Radical Democratic left.  TRUMP President 🇺🇸",2020-12-03 14:26:23+00:00,UK,0,0,0,https://twitter.com/luzzeburg1gima1/status/1334504257748410369,Pro Trump
76,76,KarenaRyan,"Red or Blue 
How is this so close again??
#Election2020 #2020Elections #PresidentialElection2020 #DumpTrump #DumpTrump2020 https://t.co/VavbpE034E",2020-11-04 08:26:43+00:00,UK,0,0,1,https://twitter.com/KarenaRyan/status/1323904495361888258,Pro Biden
77,77,cerda_gabriel,Hey Mr. Gosse now you can say congratulations to Mr Biden. https://t.co/RRG7A077Pb,2020-12-13 20:41:20+00:00,Mexico,0,0,0,https://twitter.com/cerda_gabriel/status/1338222494419980294,Pro Biden
78,78,JaimeValle,WHY CAN'T TRUMP STAY IN THE WHITE HOUSE... BECAUSE IT'S FOR BIDEN!  HAHA,2020-11-07 22:10:19+00:00,Mexico,0,0,1,https://twitter.com/JaimeValle/status/1325198924018143237,Pro Biden
79,79,gomes59963745,@JoeBiden Very good Mister President 👏👏👏👏🇧🇷🇺🇸🇧🇷🇺🇸,2020-11-11 01:13:56+00:00,Brazil,0,0,0,https://twitter.com/gomes59963745/status/1326332295935102976,Pro Biden
80,80,BhoonkalRaman,"https://t.co/06KVl4FBYc
Unacademy Cheating With Teachers and Students...👆👆

@unacademy #unacademy #UnacademyAskTheExperts #unacademyfanofthematch #60Minutes #HIAC #ARSLEI #GoodLuckSoldierChen #TrumpIsLosing #90dayfiancetheotherway https://t.co/xWppfFgdD4",2020-10-26 07:45:51+00:00,India,0,0,1,https://twitter.com/BhoonkalRaman/status/1320632722524549120,Pro Biden
81,81,leon_kramer,Stop the cunt! Trump is clearly the whiner! Dems steel the elections! #MAGA #USElections,2020-11-05 20:46:59+00:00,UK,1,0,0,https://twitter.com/leon_kramer/status/1324453178012770307,Pro Biden
82,82,therealbigtast1,"The proud boys are little bitches, they are pathetic white cowards #maga https://t.co/a7L7tybX4k",2020-10-01 12:07:48+00:00,Canada,0,0,0,https://twitter.com/therealbigtast1/status/1311638945613127686,Pro Trump
83,83,mayowacrown,"Trump is also like them, else he won't retweet the video. I wonder who wants such a poorly behaved adult as a president of the World power. All lunatics... Anyways, he is their golden calf. https://t.co/5YAx17DqgA",2020-11-24 16:16:53+00:00,South Korea,0,0,0,https://twitter.com/mayowacrown/status/1331270573951881217,Pro Trump
84,84,SharmaHealthca1,"Fitness is like a relationship you can’t cheat and expect it to work”
#WorldMentalHealthDay #VoteBlueToSaveAmerica #FITNESS #gymmotivtion https://t.co/7iwX0izhve",2020-10-11 03:17:10+00:00,Saudi Arabia,0,0,0,https://twitter.com/SharmaHealthca1/status/1315129287725383680,Pro Biden
85,85,manojgjha,"The next President of the United States @JoeBiden 
#NewReality... 🤔🤔🤔
 #Elections2020 #USElection #USAelection2020  #Trump2020 #JoeBidenKamalaHarris2020 #JOEBIDEN2020 #Biden #Biden2020 #USPresidentialElections2020 https://t.co/unYn0VfMjY",2020-11-05 07:16:32+00:00,India,5,21,171,https://twitter.com/manojgjha/status/1324249223391408135,Pro Biden
86,86,RichardGJP,"This is the latest thing #MAGA world is pinning their hopes on. 

The county BOE where this video footage is claims nothing nefarious was going on. 

If they stuffed the ballot box there would be paper evidence of that which would be more convincing than this video. https://t.co/6pxK2jhuTg",2020-12-04 16:29:18+00:00,South Korea,1,0,0,https://twitter.com/RichardGJP/status/1334897578622636032,Pro Trump
87,87,paulcurtisart,"Good luck to everyone trying to be the next President of the USA tonight... 
Use your vote wisely America.

Mural collaboration with @TransalpinoO. Designedd by Rob May (of @lacesoutfest) but also Gerald Scarfe.

#presidenttrump #joebiden
#Election2020
#Trump  #USAElections2020 https://t.co/8C71W6pHG4",2020-11-03 16:44:16+00:00,UK,2,2,12,https://twitter.com/paulcurtisart/status/1323667319265075203,Pro Biden
88,88,YNWA_Kaiser,Not sure about the WBA ballot.....I want to see the Reds every week but do I want to spend £300 a ticket to watch a Fat Sam team do what Jose did for 90 minutes yesterday ?,2020-12-17 19:44:04+00:00,UK,1,0,0,https://twitter.com/YNWA_Kaiser/status/1339657636183232516,Pro Trump
89,89,Beatpluz,"President Trump Finally Concedes and Congratulates President Elect @joebiden 
•
#whitehouse
#joebiden
#trump
#usaelections 
#usaelections2020 
#beatpluz @ Dubai, United Arab Emirates https://t.co/Bphhccseww",2020-11-08 20:40:55+00:00,India,0,1,0,https://twitter.com/Beatpluz/status/1325538815671488518,Pro Biden
90,90,ittay78,Jewish voters favored Joe Biden over Preident Donald Trump 77%-21% in an exit poll. https://t.co/YwC1q7kUoQ,2020-11-04 05:31:46+00:00,Israel,0,0,6,https://twitter.com/ittay78/status/1323860466632974337,Pro Trump
91,91,balagraphy08,"#SureshChakravarthi is evicted
#Trump is evicted and
#SRH is evicted
 
What else got evicted today? 😂😂",2020-11-08 18:06:42+00:00,India,0,0,7,https://twitter.com/balagraphy08/status/1325500005885440000,Pro Biden
92,92,JRLAMORIM,@liviolsoliveira GO TRUMP !!,2020-12-26 21:14:50+00:00,Brazil,0,1,2,https://twitter.com/JRLAMORIM/status/1342941968318541826,Pro Trump
93,93,bonfigliolimas2,"~~~ HANDLE WITH CARE ~~~

🎶🎶🎶🎶 Y.M.C.A.🎶🎶🎶🎶

#TrumpOut #ByeByeTrump #JoeBidenKamalaHarris2020 https://t.co/35l5c3w1d5",2020-11-08 11:56:47+00:00,UK,0,0,0,https://twitter.com/bonfigliolimas2/status/1325406913232850944,Pro Biden
94,94,iaaljumah,"Was #Trump making #sure she wouldn't #vote for #Biden? 🤣🤣🤣
#Election2020 #Elections2020
#writing_out_loud https://t.co/Tpx7DUuJ99",2020-11-03 19:25:22+00:00,India,1,0,1,https://twitter.com/iaaljumah/status/1323707861797605376,Pro Biden
95,95,Adriano04124722,"#BidenWasNotElected 
Biden was not elected at all https://t.co/uSdcQ9zpip",2020-11-10 17:04:23+00:00,Brazil,11,13,45,https://twitter.com/Adriano04124722/status/1326209098027819008,Pro Biden
96,96,ecomvo,"@realDonaldTrump 
Design created #MakeAmericaGreatAgain 
#Coming #BackToTheFuture
The truth is, you don't learn much from winning, but losing can make you a lot stronger. https://t.co/JjyGVqo3vB https://t.co/bPXGzCJs5y",2020-12-15 20:35:10+00:00,UK,0,0,0,https://twitter.com/ecomvo/status/1338945718908837888,Pro Trump
97,97,sonmezmurat4,@JoeBiden @jomalleydillon Congaraletions new president,2020-11-04 18:18:51+00:00,Russia,0,0,1,https://twitter.com/sonmezmurat4/status/1324053510774755328,Pro Biden
98,98,arcegama,"@MrLotario @JoeBiden Congratulations Mr.Joe Biden
President of United State of América.",2020-12-15 00:52:27+00:00,Mexico,0,0,0,https://twitter.com/arcegama/status/1338648078472122370,Pro Biden
99,99,Magiclammy,Lmfaooo Trump don declare himself winner?,2020-11-04 07:33:29+00:00,Saudi Arabia,1,0,0,https://twitter.com/Magiclammy/status/1323891099165970437,Pro Trump
100,100,TristanHerbin,CNN en sueur ! #MAGA #Trump2020 https://t.co/ZwvEcQZ7NE,2020-11-28 11:06:07+00:00,UK,0,0,0,https://twitter.com/TristanHerbin/status/1332641917285314561,Pro Trump
101,101,naturalmente_,"@AndyPierrotti @RealCandaceO @JoeBiden @TwitterMedia You can cry, we won’t mind 🤜🏽😩🤛🏽",2020-11-12 21:32:48+00:00,Brazil,0,0,0,https://twitter.com/naturalmente_/status/1327001422110535680,Pro Trump
102,102,NaveenK81275984,"Be a good person but don't waste your time to proving it. 👉🏻on frame attitude boy #naveenKohli 😎...........

#Christmas #BlackClover #blackandwhitephotography #editing #TeluguFilmNagar #BiggBossTelugu4 #ByeByeTrump https://t.co/6ksqNqMuxm",2020-12-17 03:09:10+00:00,India,0,0,2,https://twitter.com/NaveenK81275984/status/1339407259596595201,Pro Biden
103,103,Clementtang,"Trump signed the Taiwan Assurance Act, supporting Taiwan participate international organizations including UN, WHA, ICAO, INTERPOL. https://t.co/2Inrcf6Olp",2020-12-29 16:42:45+00:00,South Korea,0,0,0,https://twitter.com/Clementtang/status/1343960660997128192,Pro Biden
